"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","identificationRemarks","reproductiveCondition","informationWithheld","occurrenceRemarks","elevation","institutionKey","recordNumber","habitat","associatedTaxa","http://unknown.org/recordID","locality","rights","startDayOfYear","http://unknown.org/recordEnteredBy","verbatimElevation","collectionID","higherClassification","county","language","otherCatalogNumbers","projectId","individualCount","elevationAccuracy","depth","depthAccuracy","institutionID","dynamicProperties","namePublishedInYear","fieldNumber","type","preparations","nameAccordingTo","acceptedNameUsage","verbatimCoordinateSystem","locationID","ownerInstitutionCode","datasetID","bibliographicCitation","georeferenceSources","parentNameUsage","continent","eventRemarks","nomenclaturalStatus","nomenclaturalCode","endDayOfYear","collectionKey","locationRemarks","higherGeography","georeferencedDate","georeferenceProtocol","georeferenceVerificationStatus","networkKeys","identificationVerificationStatus","locationAccordingTo","georeferencedBy","organismID","previousIdentifications","identificationQualifier","accessRights","typeStatus","disposition","taxonConceptID","associatedSequences"
"1","Asclepias lemmonii A.Gray","-109.186012","31.872567","cdround","gbif","3333195456","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:55:20.423+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-07-29T05:26:13","3","Arizona","2021","7","28","18836","2021-07-31T04:53:05.000+00:00","2022-03-08T17:55:20.423+00:00","https://www.inaturalist.org/observations/89001734","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","cassielouwho2","89001734","cassielouwho2","Wed Jul 28 2021 13:39:13 GMT-0600 (MDT)","iNaturalist research-grade observations","Coronado National Forest, Pearce, AZ, US","3333195456","Observations","https://www.inaturalist.org/observations/89001734","158746","cassielouwho2","89001734","iNaturalist","19:39:13Z","dionaea","wild","194980042",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Asclepias lemmonii A.Gray","-110.308077","31.446976","cdround","gbif","3333322774","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:48:18.471+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-07-25T07:28:10","19","Arizona","2021","7","15","18823","2021-07-25T10:47:41.000+00:00","2022-03-08T17:48:18.471+00:00","https://www.inaturalist.org/observations/88342346","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Caleb Helsel","88342346","calebhelsel","Thu Jul 15 2021 11:44:57 GMT-0500 (CDT)","iNaturalist research-grade observations","Coronado National Forest, Hereford, AZ, US","3333322774","Observations","https://www.inaturalist.org/observations/88342346","158746","Caleb Helsel","88342346","iNaturalist","16:44:57Z","Dan Beckman","wild","193917818",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Asclepias lemmonii A.Gray","-109.185045","31.873253","cdround","gbif","3337693015","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:29:46.511+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-06T12:00:43","8347","Arizona","2021","8","4","18843","2021-08-07T22:04:57.000+00:00","2022-03-08T17:29:46.511+00:00","https://www.inaturalist.org/observations/90124763","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","valleygal","90124763","valleygal","Wed Aug 04 2021 07:53:36 GMT-0600 (MDT)","iNaturalist research-grade observations","Coronado National Forest, Pearce, AZ, US","3337693015","Observations","https://www.inaturalist.org/observations/90124763","158746","valleygal","90124763","iNaturalist","13:53:36Z","dionaea","wild","197216001",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Asclepias lemmonii A.Gray","-109.187272","31.871","cdround","gbif","3337731019","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:52:07.646+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-12T00:55:42","10","Arizona","2021","8","8","18847","2021-08-12T15:11:31.000+00:00","2022-03-08T17:52:07.646+00:00","https://www.inaturalist.org/observations/90808816","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","gkonings","90808816","gkonings","Sun Aug 08 2021 07:25:43 GMT-0600 (MDT)","iNaturalist research-grade observations","Coronado National Forest, Pearce, AZ, US","3337731019","Observations","https://www.inaturalist.org/observations/90808816","158746","gkonings","90808816","iNaturalist","13:25:43Z","dionaea","wild","198638162",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Asclepias lemmonii A.Gray","-110.311012","31.446495","cdround","gbif","3337818458","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:27:45.355+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-09T22:11:33","75","Arizona","2021","8","9","18848","2021-08-10T12:30:28.000+00:00","2022-03-08T17:27:45.355+00:00","https://www.inaturalist.org/observations/90587471","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Leslie Flint","90587471","leslie_flint","Mon Aug 09 2021 11:42:06 GMT-0700 (MST)","iNaturalist research-grade observations","Coronado National Forest, Hereford, AZ, US","3337818458","Observations","https://www.inaturalist.org/observations/90587471","158746","Leslie Flint","90587471","iNaturalist","17:42:06Z","Steve Jones","wild","198106069","Hoods look like the similar species *[Asclepias lemmonii](https://swbiodiversity.org/seinet/taxa/index.php?taxauthid=1&taxon=3763&clid=2633)*; pilose hairs on pedicels as well.",NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Asclepias lemmonii A.Gray","-110.309892","31.446237","cdround","gbif","3337940535","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:54:50.784+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-13T01:08:51","5","Arizona","2021","8","12","18851","2021-08-13T02:59:50.000+00:00","2022-03-08T17:54:50.784+00:00","https://www.inaturalist.org/observations/90950681","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Simon Tolzmann","90950681","brdnrdr","Thu Aug 12 2021 11:23:44 GMT-0700 (MST)","iNaturalist research-grade observations","Coronado National Forest, Hereford, AZ, US","3337940535","Observations","https://www.inaturalist.org/observations/90950681","158746","Simon Tolzmann","90950681","iNaturalist","17:23:44Z","dionaea","wild","198872414",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Asclepias lemmonii A.Gray","-109.233127","31.874765","cdround","gbif","3343738607","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:28:24.501+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-20T01:47:56","39","Arizona","2021","8","18","18857","2021-08-29T21:40:03.000+00:00","2022-03-08T17:28:24.501+00:00","https://www.inaturalist.org/observations/91806100","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","cjonthemountain","91806100","cjonthemountain","Wed Aug 18 2021 13:18:32 GMT-0700 (MST)","iNaturalist research-grade observations","Coronado National Forest, Pearce, AZ, US","3343738607","Observations","https://www.inaturalist.org/observations/91806100","158746","cjonthemountain","91806100","iNaturalist","19:18:32Z","cjonthemountain","wild","200657584",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Asclepias lemmonii A.Gray","-109.190187","31.866181","cdround","gbif","3343738900","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T18:07:47.081+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-24T03:56:45","15","Arizona","2021","8","9","18848","2021-08-24T13:08:33.000+00:00","2022-03-08T18:07:47.081+00:00","https://www.inaturalist.org/observations/92312026","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Simon Tolzmann","92312026","brdnrdr","2021/08/09 10:33 AM CDT","iNaturalist research-grade observations","Cochise County, AZ, USA","3343738900","Observations","https://www.inaturalist.org/observations/92312026","158746","Simon Tolzmann","92312026","iNaturalist","15:33:00Z","dionaea","wild","201712062",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Asclepias lemmonii A.Gray","-109.24257","31.902495","cdround","gbif","3343983859","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T18:06:30.094+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-20T14:58:25","348","Arizona","2021","8","18","18857","2021-08-21T18:50:49.000+00:00","2022-03-08T18:06:30.094+00:00","https://www.inaturalist.org/observations/91853781","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","cjonthemountain","91853781","cjonthemountain","Wed Aug 18 2021 12:46:28 GMT-0700 (MST)","iNaturalist research-grade observations","Coronado National Forest, San Simon, AZ, US","3343983859","Observations","https://www.inaturalist.org/observations/91853781","158746","cjonthemountain","91853781","iNaturalist","18:46:28Z","cjonthemountain","wild","200761549",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Asclepias lemmonii A.Gray","-109.190035","31.866751","cdround","gbif","3344065602","Asclepias lemmonii A.Gray","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:58:39.283+00:00","295","28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","3170287","6","7707728","220","412","6701","3170229","3170287","3170287","Asclepias lemmonii A.Gray","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias lemmonii","Asclepias","lemmonii","SPECIES","ACCEPTED","NE","2021-08-24T03:49:50","15","Arizona","2021","8","9","18848","2021-08-24T13:08:42.000+00:00","2022-03-08T17:58:39.283+00:00","https://www.inaturalist.org/observations/92311827","http://creativecommons.org/licenses/by-nc/4.0/legalcode","FALSE","FALSE","WGS84","Magnoliopsida","US","United States of America","Simon Tolzmann","92311827","brdnrdr","2021/08/09 9:39 AM CDT","iNaturalist research-grade observations","Cochise County, AZ, USA","3344065602","Observations","https://www.inaturalist.org/observations/92311827","158746","Simon Tolzmann","92311827","iNaturalist","14:39:00Z","dionaea","wild","201710918",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
